/commands/view/13/run-the-last-command-as-root, Run the last command as root, sudo !!
/commands/view/71/serve-current-directory-tree-at-httphostname8000, Serve current directory tree at http://$HOSTNAME:8000/, python -m SimpleHTTPServer
/commands/view/19/runs-previous-command-but-replacing, Runs previous command but replacing, ^foo^bar
/commands/view/1446/rapidly-invoke-an-editor-to-write-a-long-complex-or-tricky-command, Rapidly invoke an editor to write a long, complex, or tricky command, ctrl-x e
/commands/view/1551/place-the-argument-of-the-most-recent-command-on-the-shell, Place the argument of the most recent command on the shell, 'ALT+.' or '<ESC> .'
/commands/view/1556/currently-mounted-filesystems-in-nice-layout, currently mounted filesystems in nice layout, mount | column -t
/commands/view/32/salvage-a-borked-terminal, Salvage a borked terminal, reset
/commands/view/5427/get-your-external-ip-address, Get your external IP address, curl ifconfig.me
/commands/view/7/execute-a-command-at-a-given-time, Execute a command at a given time, echo "ls -l" | at midnight
/commands/view/1798/quick-access-to-the-ascii-table., Quick access to the ascii table., man ascii
/commands/view/350/output-your-microphone-to-a-remote-computers-speaker, output your microphone to a remote computer's speaker, dd if=/dev/dsp | ssh -c arcfour -C [email protected] dd of=/dev/dsp
/commands/view/6148/type-partial-command-kill-this-command-check-something-you-forgot-yank-the-command-resume-typing., type partial command, kill this command, check something you forgot, yank the command, resume typing., <ctrl+u> [...] <ctrl+y>
/commands/view/2829/query-wikipedia-via-console-over-dns, Query Wikipedia via console over DNS, dig +short txt <keyword>.wp.dg.cx
/commands/view/193/mount-folderfilesystem-through-ssh, Mount folder/filesystem through SSH, sshfs [email protected]:/path/to/folder /path/to/mount/point
/commands/view/224/mount-a-temporary-ram-partition, Mount a temporary ram partition, mount -t tmpfs tmpfs /mnt -o size=1024m
/commands/view/901/download-an-entire-website, Download an entire website, wget --random-wait -r -p -e robots=off -U mozilla http://www.example.com
/commands/view/1533/clear-the-terminal-screen, Clear the terminal screen, ctrl-l
/commands/view/47/compare-a-remote-file-with-a-local-file, Compare a remote file with a local file, ssh [email protected] cat /path/to/remotefile | diff /path/to/localfile -
/commands/view/1339/ssh-connection-through-host-in-the-middle, SSH connection through host in the middle, ssh -t reachable_host ssh unreachable_host
/commands/view/176/update-twitter-via-curl, Update twitter via curl, curl -u user:pass -d status="Tweeting from the shell" http://twitter.com/statuses/update.xml
/commands/view/1567/a-very-simple-and-useful-stopwatch, A very simple and useful stopwatch, time read (ctrl-d to stop)
/commands/view/1713/watch-star-wars-via-telnet, Watch Star Wars via telnet, telnet towel.blinkenlights.nl
/commands/view/1024/make-less-behave-like-tail-f., Make 'less' behave like 'tail -f'., less +F somelogfile
/commands/view/7916/put-a-console-clock-in-top-right-corner, Put a console clock in top right corner, while sleep 1;do tput sc;tput cup 0 $(($(tput cols)-29));date;tput rc;done &
/commands/view/1880/close-shell-keeping-all-subprocess-running, Close shell keeping all subprocess running, disown -a && exit
/commands/view/2940/32-bits-or-64-bits, 32 bits or 64 bits?, getconf LONG_BIT
/commands/view/1341/set-audible-alarm-when-an-ip-address-comes-online, Set audible alarm when an IP address comes online, ping -i 60 -a IP_address
/commands/view/4583/simulate-typing, Simulate typing, echo "You can simulate on-screen typing just like in the movies" | pv -qL 10
/commands/view/604/list-of-commands-you-use-most-often, List of commands you use most often, history | awk '{a[$2]++}END{for(i in a){print a[i] " " i}}' | sort -rn | head
/commands/view/1081/reboot-machine-when-everything-is-hanging, Reboot machine when everything is hanging, <alt> + <print screen/sys rq> + <R> - <S> - <E> - <I> - <U> - <B>
/commands/view/1295/quickly-rename-a-file, quickly rename a file, mv filename.{old,new}
/commands/view/3/display-the-top-ten-running-processes-sorted-by-memory-usage, Display the top ten running processes - sorted by memory usage, ps aux | sort -nk +4 | tail
/commands/view/799/push-your-present-working-directory-to-a-stack-that-you-can-pop-later, Push your present working directory to a stack that you can pop later, pushd /tmp
/commands/view/5351/delete-all-files-in-a-folder-that-dont-match-a-certain-file-extension, Delete all files in a folder that don't match a certain file extension, rm !(*.foo|*.bar|*.baz)
/commands/view/3384/easy-and-fast-access-to-often-executed-commands-that-are-very-long-and-complex., Easy and fast access to often executed commands that are very long and complex., some_very_long_and_complex_command # label
/commands/view/1188/create-a-script-of-the-last-executed-command, Create a script of the last executed command, echo "!!" > foo.sh
/commands/view/615/escape-any-command-aliases, escape any command aliases, \[command]
/commands/view/50/diff-two-unsorted-files-without-creating-temporary-files, diff two unsorted files without creating temporary files, diff <(sort file1) <(sort file2)
/commands/view/1994/watch-network-service-activity-in-real-time, Watch Network Service Activity in Real-time, lsof -i
/commands/view/3542/show-apps-that-use-internet-connection-at-the-moment.-multi-language, Show apps that use internet connection at the moment. (Multi-Language), lsof -P -i -n
/commands/view/2476/reuse-all-parameter-of-the-previous-command-line, Reuse all parameter of the previous command line, !*
/commands/view/1387/backticks-are-evil, Backticks are evil, echo "The date is: $(date +%D)"
/commands/view/870/sharing-file-through-http-80-port, Sharing file through http 80 port, nc -v -l 80 < file.ext
/commands/view/4671/show-file-system-hierarchy, Show File System Hierarchy, man hier
/commands/view/1764/display-a-block-of-text-with-awk, Display a block of text with AWK, awk '/start_pattern/,/stop_pattern/' file.txt
/commands/view/1560/set-cdpath-to-ease-navigation, Set CDPATH to ease navigation, CDPATH=:..:~:~/projects
/commands/view/2100/add-password-protection-to-a-file-your-editing-in-vim., Add Password Protection to a file your editing in vim., vim -x <FILENAME>
/commands/view/9104/save-command-output-to-image, save command output to image, ifconfig | convert label:@- ip.png
/commands/view/4389/remove-duplicate-entries-in-a-file-without-sorting., Remove duplicate entries in a file without sorting., awk '!x[$0]++' <file>
/commands/view/771/copy-your-ssh-public-key-on-a-remote-machine-for-passwordless-login-the-easy-way, Copy your SSH public key on a remote machine for passwordless login - the easy way, ssh-copy-id [email protected]
/commands/view/192/kills-a-process-that-is-locking-a-file., Kills a process that is locking a file., fuser -k filename
/commands/view/3555/find-duplicate-files-based-on-size-first-then-md5-hash, Find Duplicate Files (based on size first, then MD5 hash), find -not -empty -type f -printf "%s\n" | sort -rn | uniq -d | xargs -I{} -n1 find -type f -size {}c -print0 | xargs -0 md5sum | sort | uniq -w32 --all-repeated=separate
/commands/view/134/python-smtp-server, python smtp server, python -m smtpd -n -c DebuggingServer localhost:1025
/commands/view/5629/insert-the-last-command-without-the-last-argument-bash, Insert the last command without the last argument (bash), !:-
/commands/view/42/display-which-distro-is-installed, Display which distro is installed, cat /etc/issue
/commands/view/2997/find-the-process-you-are-looking-for-minus-the-grepped-one, Find the process you are looking for minus the grepped one, ps aux | grep [p]rocess-name
/commands/view/353/extract-tarball-from-internet-without-local-saving, Extract tarball from internet without local saving, wget -qO - "http://www.tarball.com/tarball.gz" | tar zxvf -
/commands/view/188/copy-your-ssh-public-key-to-a-server-from-a-machine-that-doesnt-have-ssh-copy-id, Copy your ssh public key to a server from a machine that doesn't have ssh-copy-id, cat ~/.ssh/id_rsa.pub | ssh [email protected] "mkdir ~/.ssh; cat >> ~/.ssh/authorized_keys"
/commands/view/2531/matrix-style, Matrix Style, tr -c "[:digit:]" " " < /dev/urandom | dd cbs=$COLUMNS conv=unblock | GREP_COLOR="1;32" grep --color "[^ ]"
/commands/view/52/rip-audio-from-a-video-file., Rip audio from a video file., mplayer -ao pcm -vo null -vc dummy -dumpaudio -dumpfile <output-file> <input-file>
/commands/view/5034/google-translate, Google Translate, translate(){ wget -qO- "http://ajax.googleapis.com/ajax/services/language/translate?v=1.0&q=$1&langpair=$2|${3:-en}" | sed 's/.*"translatedText":"\([^"]*\)".*}/\1\n/'; }
/commands/view/2424/inserts-the-results-of-an-autocompletion-in-the-command-line, Inserts the results of an autocompletion in the command line, ESC *
/commands/view/10480/rapidly-invoke-an-editor-to-write-a-long-complex-or-tricky-command, Rapidly invoke an editor to write a long, complex, or tricky command, fc
/commands/view/2518/replace-spaces-in-filenames-with-underscores, replace spaces in filenames with underscores, rename 'y/ /_/' *
/commands/view/383/a-fun-thing-to-do-with-ram-is-actually-open-it-up-and-take-a-peek.-this-command-will-show-you-all-the-string-plain-text-values-in-ram, A fun thing to do with ram is actually open it up and take a peek. This command will show you all the string (plain text) values in ram, sudo dd if=/dev/mem | cat | strings
/commands/view/710/graphical-tree-of-sub-directories, Graphical tree of sub-directories, ls -R | grep ":$" | sed -e 's/:$//' -e 's/[^-][^\/]*\//--/g' -e 's/^/   /' -e 's/-/|/'
/commands/view/5410/intercept-stdoutstderr-of-another-process, intercept stdout/stderr of another process, strace -ff -e trace=write -e write=1,2 -p SOME_PID
/commands/view/5107/copy-a-file-using-pv-and-watch-its-progress, Copy a file using pv and watch its progress, pv sourcefile > destfile
/commands/view/2520/define-a-quick-calculator-function, Define a quick calculator function, ? () { echo "$*" | bc -l; }
/commands/view/1396/create-a-cddvd-iso-image-from-disk., Create a CD/DVD ISO image from disk., readom dev=/dev/scd0 f=/path/to/image.iso
/commands/view/1405/stream-youtube-url-directly-to-mplayer., Stream YouTube URL directly to mplayer., i="8uyxVmdaJ-w";mplayer -fs $(curl -s "http://www.youtube.com/get_video_info?&video_id=$i" | echo -e $(sed 's/%/\\x/g;s/.*\(v[0-9]\.lscache.*\)/http:\/\/\1/g') | grep -oP '^[^|,]*')
/commands/view/9000/mkdir-cd-into-it-as-single-command, mkdir & cd into it as single command, mkdir /home/foo/doc/bar && cd $_
/commands/view/305/make-directory-including-intermediate-directories, Make directory including intermediate directories, mkdir -p a/long/directory/path
/commands/view/88/easily-search-running-processes-alias., Easily search running processes (alias)., alias 'ps?'='ps ax | grep '
/commands/view/8937/multiple-variable-assignments-from-command-output-in-bash, Multiple variable assignments from command output in BASH, read day month year <<< $(date +'%d %m %y')
/commands/view/7355/create-a-pdf-version-of-a-manpage, Create a pdf version of a manpage, man -t manpage | ps2pdf - filename.pdf
/commands/view/6652/remove-all-but-one-specific-file, Remove all but one specific file, rm -f !(survivior.txt)
/commands/view/3502/git-remove-files-which-have-been-deleted, git remove files which have been deleted, git add -u
/commands/view/1521/job-control, Job Control, ^Z $bg $disown
/commands/view/946/edit-a-file-on-a-remote-host-using-vim, Edit a file on a remote host using vim, vim scp://[email protected]//path/to/somefile
/commands/view/3546/show-apps-that-use-internet-connection-at-the-moment.-multi-language, Show apps that use internet connection at the moment. (Multi-Language), ss -p
/commands/view/2012/graph-of-connections-for-each-hosts., Graph # of connections for each hosts., netstat -an | grep ESTABLISHED | awk '{print $5}' | awk -F: '{print $1}' | sort | uniq -c | awk '{ printf("%s\t%s\t",$2,$1) ; for (i = 0; i < $1; i++) {printf("*")}; print "" }'
/commands/view/722/generate-a-random-password-30-characters-long, Generate a random password 30 characters long, strings /dev/urandom | grep -o '[[:alnum:]]' | head -n 30 | tr -d '\n'; echo
/commands/view/2365/record-a-screencast-and-convert-it-to-an-mpeg, Record a screencast and convert it to an mpeg, ffmpeg -f x11grab -r 25 -s 800x600 -i :0.0 /tmp/outputFile.mpg
/commands/view/253/monitor-progress-of-a-command, Monitor progress of a command, pv access.log | gzip > access.log.gz
/commands/view/3573/search-for-a-string-inside-all-files-in-the-current-directory, Search for a <pattern> string inside all files in the current directory, grep -RnisI <pattern> *
/commands/view/768/monitor-the-queries-being-run-by-mysql, Monitor the queries being run by MySQL, watch -n 1 mysqladmin --user=<user> --password=<password> processlist
/commands/view/5879/show-numerical-values-for-each-of-the-256-colors-in-bash, Show numerical values for each of the 256 colors in bash, for code in {0..255}; do echo -e "\e[38;05;${code}m $code: Test"; done
/commands/view/1894/convert-seconds-to-human-readable-format, Convert seconds to human-readable format, date [email protected]
/commands/view/65/get-the-10-biggest-filesfolders-for-the-current-direcotry, Get the 10 biggest files/folders for the current direcotry, du -s * | sort -n | tail
/commands/view/5131/recursively-remove-all-empty-directories, Recursively remove all empty directories, find . -type d -empty -delete
/commands/view/2473/display-a-cool-clock-on-your-terminal, Display a cool clock on your terminal, watch -t -n1 "date +%T|figlet"
/commands/view/772/processor-memory-bandwidthd-in-gbs, Processor / memory bandwidthd? in GB/s, dd if=/dev/zero of=/dev/null bs=1M count=32768
/commands/view/4345/remove-security-limitations-from-pdf-documents-using-ghostscript, Remove security limitations from PDF documents using ghostscript, gs -q -dNOPAUSE -dBATCH -sDEVICE=pdfwrite -sOutputFile=OUTPUT.pdf -c .setpdfwrite -f INPUT.pdf
/commands/view/3380/check-your-unread-gmail-from-the-command-line, Check your unread Gmail from the command line, curl -u username:password --silent "https://mail.google.com/mail/feed/atom" | tr -d '\n' | awk -F '<entry>' '{for (i=2; i<=NF; i++) {print $i}}' | sed -n "s/<title>\(.*\)<\/title.*name>\(.*\)<\/name>.*/\2 - \1/p"
/commands/view/3086/search-commandlinefu.com-from-the-command-line-using-the-api, Search commandlinefu.com from the command line using the API, cmdfu(){ curl "http://www.commandlinefu.com/commands/matching/[email protected]/$(echo -n [email protected] | openssl base64)/plaintext"; }
/commands/view/2041/send-pop-up-notifications-on-gnome, Send pop-up notifications on Gnome, notify-send ["<title>"] "<body>"
/commands/view/6663/pretend-to-be-busy-in-office-to-enjoy-a-cup-of-coffee, pretend to be busy in office to enjoy a cup of coffee, cat /dev/urandom | hexdump -C | grep "ca fe"
/commands/view/5233/makes-the-permissions-of-file2-the-same-as-file1, Makes the permissions of file2 the same as file1, chmod --reference file1 file2
/commands/view/1947/debianubuntu-discover-what-package-a-file-belongs-to, (Debian/Ubuntu) Discover what package a file belongs to, dpkg -S /usr/bin/ls
/commands/view/152/mount-a-.iso-file-in-unixlinux, Mount a .iso file in UNIX/Linux, mount /path/to/file.iso /mnt/cdrom -oloop
/commands/view/6057/remove-a-line-in-a-text-file.-useful-to-fix, Remove a line in a text file. Useful to fix, ssh-keygen -R <the_offending_host>
/commands/view/3802/to-print-a-specific-line-from-a-file, To print a specific line from a file, sed -n 5p <file>
/commands/view/2395/open-finder-from-the-current-terminal-location, Open Finder from the current Terminal location, open .
/commands/view/1233/create-a-persistent-connection-to-a-machine, Create a persistent connection to a machine, ssh -MNf <user>@<host>
/commands/view/17709/nice-weather-forecast-on-your-shell, Nice weather forecast on your shell, curl wttr.in/seville
/commands/view/9721/start-command-and-kill-it-if-still-running-after-5-seconds, Start COMMAND, and kill it if still running after 5 seconds, timeout 5s COMMAND
/commands/view/2556/show-a-4-way-scrollable-process-tree-with-full-details., Show a 4-way scrollable process tree with full details., ps awwfux | less -S
/commands/view/18/create-a-quick-back-up-copy-of-a-file, Create a quick back-up copy of a file, cp file.txt{,.bak}
